,Rank,Champion,Role,Win_Rate
101,Master,Fizz,Mid,49.2%
102,Master,Malzahar,Mid,49.2%
103,Master,Cassiopeia,Mid,49.1%
104,Master,Ekko,Jungle,49.1%
105,Master,Zyra,Support,49.0%
106,Master,Lucian,Bot,49.0%
107,Master,Fiddlesticks,Jungle,49.0%
108,Master,Rengar,Jungle,48.9%
109,Master,Master Yi,Jungle,48.8%
110,Master,Ivern,Jungle,48.8%
111,Master,Twitch,Support,48.8%
112,Master,Syndra,Mid,48.8%
113,Master,Renekton,Top,48.8%
114,Master,Anivia,Mid,48.8%
115,Master,Zilean,Mid,48.7%
116,Master,Shen,Top,48.7%
117,Master,Rek'Sai,Jungle,48.7%
118,Master,Qiyana,Mid,48.5%
119,Master,Gragas,Top,48.5%
120,Master,Nidalee,Jungle,48.5%
121,Master,Taliyah,Jungle,48.5%
122,Master,Graves,Jungle,48.4%
123,Master,Neeko,Mid,48.3%
124,Master,Ashe,Support,48.3%
125,Master,Akali,Mid,48.2%
126,Master,Lulu,Support,48.2%
127,Master,Yasuo,Mid,48.1%
128,Master,Brand,Support,48.1%
129,Master,Aphelios,Bot,47.9%
130,Master,Fiora,Top,47.9%
131,Master,Kennen,Top,47.9%
132,Master,Aurelion Sol,Mid,47.9%
133,Master,Leona,Support,47.8%
134,Master,Poppy,Top,47.8%
135,Master,Gangplank,Top,47.7%
136,Master,Ornn,Top,47.6%
137,Master,Pyke,Support,47.6%
138,Master,Karma,Support,47.5%
139,Master,Kha'Zix,Jungle,47.5%
140,Master,Kayn,Jungle,47.4%
141,Master,Singed,Top,47.4%
142,Master,Swain,Mid,47.3%
143,Master,Lux,Mid,47.2%
144,Master,Rammus,Jungle,47.2%
145,Master,Sett,Top,47.2%
146,Master,Yone,Mid,47.1%
147,Master,Lucian,Top,47.1%
148,Master,Tristana,Mid,46.9%
149,Master,Ezreal,Bot,46.7%
150,Master,Vladimir,Top,46.7%
151,Master,Yasuo,Bot,46.6%
152,Master,Yone,Top,46.6%
153,Master,Vel'Koz,Support,46.5%
154,Master,Aatrox,Top,46.3%
155,Master,Shaco,Jungle,46.1%
156,Master,Maokai,Top,46.1%
157,Master,Jarvan IV,Jungle,46.0%
158,Master,Samira,Bot,45.8%
159,Master,Azir,Mid,45.8%
160,Master,Vi,Jungle,45.7%
161,Master,Mordekaiser,Top,45.7%
162,Master,Yasuo,Top,45.6%
163,Master,Xerath,Support,45.6%
164,Master,Karthus,Mid,45.3%
165,Master,Lucian,Mid,45.0%
166,Master,Sylas,Mid,44.8%
167,Master,Senna,Support,44.7%
168,Master,Akali,Top,44.4%
169,Master,Poppy,Jungle,44.3%
170,Master,Veigar,Mid,44.2%
171,Master,Lux,Support,43.9%
172,Master,Teemo,Top,43.7%
173,Master,Corki,Mid,43.6%
174,Master,Kayle,Top,43.6%
175,Master,LeBlanc,Mid,43.4%
176,Master,Jinx,Bot,43.2%
177,Master,Kled,Top,43.1%
178,Master,Sylas,Top,42.9%
179,Master,Ryze,Top,42.9%
180,Master,Ziggs,Bot,42.5%
181,Master,Heimerdinger,Top,42.1%
182,Master,Warwick,Jungle,41.6%
183,Master,Sejuani,Jungle,40.7%
184,Master,Irelia,Mid,40.6%
185,Master,Volibear,Jungle,40.6%
186,Master,Cassiopeia,Top,40.5%
187,Master,Soraka,Support,40.1%
188,Master,Trundle,Jungle,40.0%
189,Master,Ziggs,Mid,39.5%
190,Master,Sett,Support,38.8%
191,Master,Jayce,Mid,38.6%
192,Master,Heimerdinger,Mid,35.7%
193,Master,Amumu,Jungle,31.7%
194,Master,Pyke,Mid,31.3%
195,Master,Varus,Bot,30.0%
