,id,rank,champion,role,win_rate
82,82,Iron plus,Brand,Support,52.3%
83,83,Platinum plus,Olaf,Jungle,52.3%
84,84,Platinum plus,Diana,Mid,52.3%
85,85,Iron plus,Jhin,AD Carry,52.3%
86,86,Iron plus,Ivern,Jungler,52.3%
87,87,Master,Twitch,Bot,52.2%
88,88,Platinum plus,Darius,Top,52.2%
89,89,Platinum plus,Jhin,Bot,52.2%
90,90,Platinum plus,Hecarim,Jungle,52.2%
91,91,Iron plus,Yorick,Top,52.2%
92,92,Iron plus,Malphite,"Top, Support",52.2%
93,93,Master,Galio,Support,52.1%
94,94,Platinum plus,Ekko,Mid,52.1%
95,95,Iron plus,Kled,Top,52.1%
96,96,Iron plus,Annie,Mid,52.1%
97,97,Iron plus,Nasus,Top,52.1%
98,98,Master,Katarina,Mid,52.0%
99,99,Platinum plus,Shaco,Support,52.0%
100,100,Platinum plus,Karthus,Jungle,52.0%
101,101,Platinum plus,Galio,Mid,52.0%
102,102,Platinum plus,Nasus,Top,52.0%
103,103,Iron plus,Urgot,Top,52.0%
104,104,Master,Alistar,Support,52.0%
105,105,Master,Evelynn,Jungle,52.0%
106,106,Iron plus,Fiddlesticks,Jungler,51.9%
107,107,Iron plus,Ekko,"Jungler, Mid",51.9%
108,108,Iron plus,Sion,Top,51.9%
109,109,Iron plus,Nunu & Willump,Jungler,51.9%
110,110,Iron plus,Diana,Mid,51.9%
111,111,Master,Xayah,Bot,51.9%
112,112,Platinum plus,Skarner,Jungle,51.9%
113,113,Platinum plus,Bard,Support,51.9%
114,114,Master,Bard,Support,51.8%
115,115,Platinum plus,Heimerdinger,Top,51.8%
116,116,Platinum plus,Wukong,Top,51.8%
117,117,Iron plus,Leona,Support,51.8%
118,118,Iron plus,Tristana,AD Carry,51.8%
119,119,Iron plus,Zilean,Support,51.8%
120,120,Iron plus,Seraphine,Support,51.7%
121,121,Iron plus,Zyra,Support,51.7%
122,122,Iron plus,Wukong,"Top, Jungler",51.7%
123,123,Platinum plus,Brand,Mid,51.7%
124,124,Platinum plus,Rumble,Mid,51.7%
125,125,Platinum plus,Janna,Support,51.7%
126,126,Master,Ekko,Mid,51.7%
127,127,Iron plus,Udyr,Jungler,51.7%
128,128,Platinum plus,Vayne,Bot,51.6%
129,129,Platinum plus,Rell,Support,51.6%
130,130,Platinum plus,Galio,Support,51.6%
131,131,Master,Gnar,Top,51.6%
132,132,Master,Miss Fortune,Bot,51.6%
133,133,Platinum plus,Kha'Zix,Jungle,51.5%
134,134,Master,Rengar,Top,51.5%
135,135,Iron plus,Garen,Top,51.5%
136,136,Iron plus,Teemo,Top,51.5%
137,137,Platinum plus,Vel'Koz,Mid,51.5%
138,138,Platinum plus,Kled,Top,51.5%
139,139,Platinum plus,Camille,Top,51.5%
140,140,Platinum plus,Volibear,Top,51.4%
141,141,Platinum plus,Corki,Mid,51.4%
142,142,Iron plus,Amumu,Jungler,51.4%
143,143,Platinum plus,Malphite,Top,51.4%
144,144,Master,Kai'Sa,Bot,51.4%
145,145,Master,Quinn,Top,51.4%
146,146,Iron plus,Galio,"Mid, Support",51.3%
147,147,Master,Camille,Top,51.3%
148,148,Master,Thresh,Support,51.3%
149,149,Master,Caitlyn,Bot,51.3%
150,150,Master,Pantheon,Jungle,51.3%
151,151,Iron plus,Miss Fortune,AD Carry,51.3%
152,152,Iron plus,Heimerdinger,"Mid, Top",51.3%
153,153,Platinum plus,Pantheon,Top,51.3%
154,154,Platinum plus,Cassiopeia,Mid,51.3%
155,155,Platinum plus,Nami,Support,51.2%
156,156,Iron plus,Quinn,Top,51.2%
157,157,Platinum plus,Alistar,Support,51.2%
158,158,Platinum plus,Ahri,Mid,51.2%
159,159,Platinum plus,Miss Fortune,Bot,51.2%
160,160,Platinum plus,Kog'Maw,Bot,51.2%
161,161,Iron plus,Olaf,Jungler,51.2%
162,162,Iron plus,Janna,Support,51.2%
163,163,Iron plus,Master Yi,Jungler,51.2%
164,164,Iron plus,Lulu,Support,51.1%
165,165,Iron plus,Alistar,Support,51.1%
166,166,Iron plus,Sona,Support,51.1%
167,167,Iron plus,Hecarim,Jungler,51.1%
168,168,Master,Pantheon,Support,51.1%
169,169,Master,Twisted Fate,Mid,51.1%
170,170,Platinum plus,Sona,Support,51.0%
171,171,Platinum plus,Neeko,Mid,51.0%
172,172,Iron plus,Kai'Sa,AD Carry,51.0%
173,173,Platinum plus,Sion,Top,51.0%
174,174,Platinum plus,Ekko,Jungle,51.0%
175,175,Platinum plus,Pantheon,Jungle,51.0%
176,176,Master,Seraphine,Support,51.0%
177,177,Master,Annie,Mid,51.0%
178,178,Platinum plus,Urgot,Top,51.0%
179,179,Master,Yorick,Top,50.9%
180,180,Master,Sivir,Bot,50.9%
181,181,Platinum plus,Tristana,Bot,50.9%
182,182,Master,Ahri,Mid,50.9%
183,183,Iron plus,Illaoi,Top,50.9%
184,184,Iron plus,Vayne,"AD Carry, Top",50.9%
185,185,Iron plus,Warwick,Jungler,50.9%
186,186,Iron plus,Kha'Zix,Jungler,50.9%
187,187,Iron plus,Shen,Top,50.9%
188,188,Platinum plus,Illaoi,Top,50.9%
189,189,Platinum plus,Ornn,Top,50.9%
190,190,Platinum plus,Leona,Support,50.8%
191,191,Platinum plus,Kai'Sa,Bot,50.8%
192,192,Platinum plus,Ziggs,Mid,50.8%
193,193,Platinum plus,Vladimir,Mid,50.8%
194,194,Platinum plus,Twitch,Bot,50.8%
195,195,Iron plus,Nautilus,Support,50.8%
196,196,Master,Jhin,Bot,50.7%
197,197,Iron plus,Sejuani,Jungler,50.7%
198,198,Iron plus,Morgana,Support,50.7%
199,199,Iron plus,Bard,Support,50.7%
200,200,Iron plus,Kennen,Top,50.7%
201,201,Iron plus,Ahri,Mid,50.7%
202,202,Iron plus,Vel'Koz,"Support, Mid",50.7%
203,203,Platinum plus,Rengar,Top,50.7%
204,204,Platinum plus,Yorick,Top,50.7%
205,205,Platinum plus,Vi,Jungle,50.7%
206,206,Platinum plus,Lissandra,Mid,50.6%
207,207,Master,Swain,Bot,50.6%
208,208,Master,Lissandra,Mid,50.6%
209,209,Platinum plus,Thresh,Support,50.6%
210,210,Iron plus,Cho'Gath,Top,50.6%
211,211,Iron plus,Xerath,"Support, Mid",50.6%
212,212,Iron plus,Darius,Top,50.6%
213,213,Iron plus,Neeko,"Mid, Support",50.6%
214,214,Platinum plus,Poppy,Top,50.6%
215,215,Iron plus,Ornn,Top,50.5%
216,216,Iron plus,Pantheon,"Support, Mid, Top",50.5%
217,217,Iron plus,Kayle,Top,50.5%
218,218,Iron plus,Taric,Support,50.5%
219,219,Iron plus,Volibear,"Top, Jungler",50.5%
220,220,Master,Urgot,Top,50.5%
221,221,Platinum plus,Vel'Koz,Support,50.5%
222,222,Platinum plus,Evelynn,Jungle,50.5%
223,223,Platinum plus,Warwick,Top,50.5%
224,224,Iron plus,Blitzcrank,Support,50.4%
225,225,Platinum plus,Gragas,Jungle,50.4%
226,226,Iron plus,Shaco,"Jungler, Support",50.4%
227,227,Platinum plus,Blitzcrank,Support,50.4%
228,228,Platinum plus,Singed,Top,50.4%
229,229,Platinum plus,Gnar,Top,50.4%
230,230,Platinum plus,Xerath,Mid,50.4%
231,231,Platinum plus,Kennen,Top,50.4%
232,232,Master,Zed,Mid,50.4%
233,233,Master,Irelia,Top,50.4%
234,234,Iron plus,Poppy,"Top, Jungler",50.4%
235,235,Iron plus,Rell,Support,50.4%
236,236,Iron plus,Lissandra,Mid,50.3%
237,237,Platinum plus,Maokai,Top,50.3%
238,238,Platinum plus,Lulu,Support,50.3%
239,239,Master,Yuumi,Support,50.3%
240,240,Master,Nami,Support,50.3%
241,241,Master,Malphite,Top,50.3%
242,242,Master,Rell,Support,50.2%
243,243,Platinum plus,Kassadin,Mid,50.2%
244,244,Platinum plus,Taliyah,Jungle,50.2%
245,245,Iron plus,Camille,Top,50.2%
246,246,Platinum plus,Twisted Fate,Mid,50.1%
247,247,Master,Morgana,Support,50.1%
248,248,Platinum plus,Lux,Mid,50.1%
249,249,Platinum plus,Gragas,Top,50.1%
250,250,Platinum plus,Teemo,Top,50.1%
251,251,Iron plus,Aurelion Sol,Mid,50.1%
252,252,Iron plus,Karthus,Jungler,50.1%
253,253,Iron plus,Braum,Support,50.1%
254,254,Master,Viktor,Mid,50.0%
255,255,Master,Zilean,Support,50.0%
256,256,Master,Tristana,Bot,50.0%
257,257,Master,Warwick,Top,50.0%
258,258,Master,Karthus,Bot,50.0%
259,259,Iron plus,Ziggs,Mid,50.0%
260,260,Iron plus,Zac,Jungler,50.0%
261,261,Platinum plus,Wukong,Jungle,50.0%
262,262,Platinum plus,Sejuani,Jungle,50.0%
263,263,Platinum plus,Ashe,Bot,49.9%
264,264,Iron plus,Kayn,Jungler,49.9%
265,265,Platinum plus,Brand,Support,49.9%
266,266,Iron plus,Jarvan IV,Jungler,49.9%
267,267,Iron plus,Ashe,"AD Carry, Support",49.9%
268,268,Iron plus,Lux,"Support, Mid",49.9%
269,269,Platinum plus,Kayle,Top,49.9%
270,270,Platinum plus,Shen,Top,49.9%
271,271,Platinum plus,Rek'Sai,Jungle,49.9%
272,272,Platinum plus,Morgana,Support,49.8%
273,273,Master,Kassadin,Mid,49.8%
274,274,Platinum plus,Yuumi,Support,49.8%
275,275,Iron plus,Kassadin,Mid,49.8%
276,276,Platinum plus,Xin Zhao,Jungle,49.8%
277,277,Platinum plus,Poppy,Jungle,49.8%
278,278,Platinum plus,Amumu,Jungle,49.7%
279,279,Platinum plus,Jinx,Bot,49.7%
280,280,Master,Vladimir,Mid,49.7%
281,281,Master,Lillia,Jungle,49.7%
282,282,Iron plus,Cassiopeia,Mid,49.7%
283,283,Iron plus,Thresh,Support,49.7%
284,284,Iron plus,Taliyah,Jungler,49.7%
285,285,Platinum plus,Draven,Bot,49.6%
286,286,Master,Jax,Top,49.6%
287,287,Platinum plus,Talon,Mid,49.6%
288,288,Master,Gragas,Support,49.6%
289,289,Master,Draven,Bot,49.6%
290,290,Iron plus,Fiora,Top,49.5%
291,291,Iron plus,Veigar,Mid,49.5%
292,292,Platinum plus,Kayn,Jungle,49.5%
293,293,Platinum plus,Nautilus,Support,49.5%
294,294,Platinum plus,Swain,Support,49.5%
295,295,Iron plus,Zed,Mid,49.5%
296,296,Iron plus,Yasuo,Mid,49.5%
297,297,Iron plus,Nocturne,Jungler,49.5%
298,298,Master,Vayne,Bot,49.5%
299,299,Iron plus,Gragas,"Jungler, Top",49.5%
300,300,Master,Nautilus,Support,49.5%
301,301,Iron plus,Evelynn,Jungler,49.5%
302,302,Master,Taric,Support,49.4%
303,303,Master,Pantheon,Top,49.4%
304,304,Master,Swain,Support,49.4%
305,305,Master,Braum,Support,49.4%
306,306,Platinum plus,Taric,Support,49.4%
307,307,Platinum plus,Warwick,Jungle,49.4%
308,308,Platinum plus,Jax,Top,49.4%
309,309,Iron plus,Renekton,Top,49.4%
310,310,Iron plus,Jax,"Top, Jungler",49.4%
311,311,Iron plus,Jinx,AD Carry,49.4%
312,312,Iron plus,Kog'Maw,AD Carry,49.4%
313,313,Platinum plus,Sivir,Bot,49.4%
314,314,Master,Zac,Jungle,49.3%
315,315,Iron plus,Sett,"Top, Support",49.3%
316,316,Master,Riven,Top,49.3%
317,317,Master,Lee Sin,Jungle,49.3%
318,318,Master,Fizz,Mid,49.2%
319,319,Platinum plus,Vladimir,Top,49.2%
320,320,Iron plus,Gnar,Top,49.2%
321,321,Master,Malzahar,Mid,49.2%
322,322,Iron plus,Rek'Sai,Jungler,49.2%
323,323,Iron plus,Graves,Jungler,49.2%
324,324,Iron plus,Xin Zhao,Jungler,49.2%
325,325,Iron plus,Katarina,Mid,49.1%
326,326,Master,Cassiopeia,Mid,49.1%
327,327,Master,Ekko,Jungle,49.1%
328,328,Iron plus,Yone,"Mid, Top",49.1%
329,329,Platinum plus,Riven,Top,49.1%
330,330,Platinum plus,Jayce,Mid,49.1%
331,331,Iron plus,Mordekaiser,Top,49.1%
332,332,Platinum plus,Braum,Support,49.0%
333,333,Platinum plus,Zyra,Support,49.0%
334,334,Platinum plus,Katarina,Mid,49.0%
335,335,Platinum plus,Zed,Mid,49.0%
336,336,Platinum plus,Jarvan IV,Jungle,49.0%
337,337,Master,Zyra,Support,49.0%
338,338,Master,Lucian,Bot,49.0%
339,339,Master,Fiddlesticks,Jungle,49.0%
340,340,Iron plus,Tryndamere,Top,49.0%
341,341,Iron plus,Rakan,Support,48.9%
342,342,Platinum plus,Lux,Support,48.9%
343,343,Platinum plus,Yone,Mid,48.9%
344,344,Iron plus,Yuumi,Support,48.9%
345,345,Iron plus,Vladimir,"Mid, Top",48.9%
346,346,Platinum plus,Shaco,Jungle,48.9%
347,347,Platinum plus,Rakan,Support,48.9%
348,348,Master,Rengar,Jungle,48.9%
349,349,Master,Anivia,Mid,48.8%
350,350,Platinum plus,Jayce,Top,48.8%
351,351,Platinum plus,Sett,Top,48.8%
352,352,Platinum plus,Ashe,Support,48.8%
353,353,Master,Syndra,Mid,48.8%
354,354,Master,Twitch,Support,48.8%
355,355,Master,Renekton,Top,48.8%
356,356,Master,Ivern,Jungle,48.8%
357,357,Iron plus,Shyvana,Jungler,48.8%
358,358,Master,Master Yi,Jungle,48.8%
359,359,Master,Zilean,Mid,48.7%
360,360,Master,Shen,Top,48.7%
361,361,Master,Rek'Sai,Jungle,48.7%
362,362,Platinum plus,Zac,Jungle,48.7%
363,363,Iron plus,Samira,AD Carry,48.7%
364,364,Iron plus,Rumble,"Top, Mid",48.7%
365,365,Iron plus,Corki,Mid,48.7%
366,366,Platinum plus,Fiora,Top,48.7%
367,367,Platinum plus,Mordekaiser,Top,48.7%
368,368,Platinum plus,Aatrox,Top,48.6%
369,369,Platinum plus,Xerath,Support,48.6%
370,370,Platinum plus,Sylas,Top,48.6%
371,371,Iron plus,Orianna,Mid,48.6%
372,372,Platinum plus,Volibear,Jungle,48.5%
373,373,Platinum plus,Tryndamere,Top,48.5%
374,374,Master,Gragas,Top,48.5%
375,375,Master,Qiyana,Mid,48.5%
376,376,Iron plus,Twitch,AD Carry,48.5%
377,377,Iron plus,Jayce,"Top, Mid",48.5%
378,378,Master,Nidalee,Jungle,48.5%
379,379,Master,Taliyah,Jungle,48.5%
380,380,Master,Graves,Jungle,48.4%
381,381,Platinum plus,Veigar,Mid,48.4%
382,382,Iron plus,Aatrox,Top,48.4%
383,383,Iron plus,Singed,Top,48.4%
384,384,Iron plus,Lillia,Jungler,48.3%
385,385,Platinum plus,Master Yi,Jungle,48.3%
386,386,Platinum plus,Qiyana,Mid,48.3%
387,387,Master,Neeko,Mid,48.3%
388,388,Iron plus,Trundle,"Jungler, Top",48.3%
389,389,Iron plus,Draven,AD Carry,48.3%
390,390,Master,Ashe,Support,48.3%
391,391,Master,Lulu,Support,48.2%
392,392,Master,Akali,Mid,48.2%
393,393,Iron plus,Kindred,Jungler,48.2%
394,394,Iron plus,Soraka,Support,48.1%
395,395,Master,Brand,Support,48.1%
396,396,Master,Yasuo,Mid,48.1%
397,397,Platinum plus,Sylas,Mid,48.1%
398,398,Platinum plus,Zoe,Mid,48.1%
399,399,Platinum plus,Lucian,Bot,48.1%
400,400,Platinum plus,Yasuo,Mid,48.1%
401,401,Iron plus,Xayah,AD Carry,48.0%
402,402,Iron plus,Sylas,"Mid, Top",48.0%
403,403,Iron plus,Lucian,"AD Carry, Mid",48.0%
404,404,Platinum plus,Renekton,Top,48.0%
405,405,Platinum plus,Yone,Top,47.9%
406,406,Master,Fiora,Top,47.9%
407,407,Master,Kennen,Top,47.9%
408,408,Master,Aurelion Sol,Mid,47.9%
409,409,Iron plus,Dr. Mundo,"Jungler, Top",47.9%
410,410,Iron plus,Talon,Mid,47.9%
411,411,Platinum plus,Lillia,Jungle,47.9%
412,412,Master,Aphelios,Bot,47.9%
413,413,Platinum plus,Orianna,Mid,47.8%
414,414,Iron plus,Pyke,Support,47.8%
415,415,Platinum plus,Gangplank,Top,47.8%
416,416,Platinum plus,Nidalee,Jungle,47.8%
417,417,Platinum plus,Karma,Support,47.8%
418,418,Master,Poppy,Top,47.8%
419,419,Master,Leona,Support,47.8%
420,420,Iron plus,Riven,Top,47.8%
421,421,Iron plus,Caitlyn,AD Carry,47.7%
422,422,Iron plus,Sivir,AD Carry,47.7%
423,423,Iron plus,Twisted Fate,Mid,47.7%
424,424,Master,Gangplank,Top,47.7%
425,425,Iron plus,LeBlanc,Mid,47.7%
426,426,Platinum plus,Rumble,Top,47.7%
427,427,Platinum plus,Aphelios,Bot,47.7%
428,428,Platinum plus,Rengar,Jungle,47.7%
429,429,Platinum plus,Yasuo,Top,47.7%
430,430,Platinum plus,Caitlyn,Bot,47.7%
431,431,Platinum plus,Xayah,Bot,47.7%
432,432,Platinum plus,Kindred,Jungle,47.7%
433,433,Platinum plus,Trundle,Jungle,47.7%
434,434,Platinum plus,Shyvana,Jungle,47.7%
435,435,Platinum plus,Ryze,Top,47.7%
436,436,Master,Pyke,Support,47.6%
437,437,Platinum plus,LeBlanc,Mid,47.6%
438,438,Master,Ornn,Top,47.6%
439,439,Master,Kha'Zix,Jungle,47.5%
440,440,Master,Karma,Support,47.5%
441,441,Iron plus,Tahm Kench,"Top, Support",47.4%
442,442,Master,Kayn,Jungle,47.4%
443,443,Platinum plus,Samira,Bot,47.4%
444,444,Platinum plus,Nocturne,Jungle,47.4%
445,445,Platinum plus,Graves,Jungle,47.4%
446,446,Master,Singed,Top,47.4%
447,447,Master,Swain,Mid,47.3%
448,448,Platinum plus,Kalista,Bot,47.3%
449,449,Iron plus,Syndra,Mid,47.2%
450,450,Iron plus,Rengar,"Jungler, Top",47.2%
451,451,Master,Sett,Top,47.2%
452,452,Master,Rammus,Jungle,47.2%
453,453,Master,Lux,Mid,47.2%
454,454,Master,Lucian,Top,47.1%
455,455,Master,Yone,Mid,47.1%
456,456,Platinum plus,Ezreal,Bot,47.1%
457,457,Platinum plus,Azir,Mid,47.1%
458,458,Iron plus,Zoe,Mid,47.1%
459,459,Iron plus,Aphelios,AD Carry,47.1%
460,460,Platinum plus,Jax,Jungle,47.1%
461,461,Platinum plus,Pantheon,Support,47.1%
462,462,Iron plus,Varus,AD Carry,47.0%
463,463,Iron plus,Lee Sin,Jungler,47.0%
464,464,Platinum plus,Irelia,Top,47.0%
465,465,Platinum plus,Soraka,Support,47.0%
466,466,Master,Tristana,Mid,46.9%
467,467,Iron plus,Ezreal,AD Carry,46.9%
468,468,Platinum plus,Senna,Bot,46.9%
469,469,Platinum plus,Ryze,Mid,46.9%
470,470,Iron plus,Akali,"Mid, Top",46.9%
471,471,Iron plus,Ryze,"Mid, Top",46.8%
472,472,Master,Ezreal,Bot,46.7%
473,473,Master,Vladimir,Top,46.7%
474,474,Platinum plus,Lee Sin,Jungle,46.7%
475,475,Iron plus,Kalista,AD Carry,46.7%
476,476,Master,Yasuo,Bot,46.6%
477,477,Master,Yone,Top,46.6%
478,478,Platinum plus,Syndra,Mid,46.6%
479,479,Iron plus,Irelia,"Top, Mid",46.6%
480,480,Iron plus,Senna,"Support, AD Carry",46.5%
481,481,Master,Vel'Koz,Support,46.5%
482,482,Iron plus,Karma,Support,46.5%
483,483,Platinum plus,Pyke,Support,46.5%
484,484,Platinum plus,Tahm Kench,Top,46.5%
485,485,Master,Aatrox,Top,46.3%
486,486,Platinum plus,Akali,Mid,46.2%
487,487,Platinum plus,Lucian,Mid,46.1%
488,488,Platinum plus,Dr. Mundo,Jungle,46.1%
489,489,Master,Maokai,Top,46.1%
490,490,Master,Shaco,Jungle,46.1%
491,491,Iron plus,Nidalee,Jungler,46.0%
492,492,Master,Jarvan IV,Jungle,46.0%
493,493,Platinum plus,Varus,Bot,45.9%
494,494,Master,Azir,Mid,45.8%
495,495,Master,Samira,Bot,45.8%
496,496,Iron plus,Gangplank,Top,45.8%
497,497,Master,Mordekaiser,Top,45.7%
498,498,Master,Vi,Jungle,45.7%
499,499,Master,Yasuo,Top,45.6%
500,500,Master,Xerath,Support,45.6%
501,501,Platinum plus,Akali,Top,45.3%
502,502,Master,Karthus,Mid,45.3%
503,503,Platinum plus,Senna,Support,45.2%
504,504,Master,Lucian,Mid,45.0%
505,505,Platinum plus,Irelia,Mid,44.9%
506,506,Master,Sylas,Mid,44.8%
507,507,Master,Senna,Support,44.7%
508,508,Platinum plus,Dr. Mundo,Top,44.7%
509,509,Platinum plus,Sett,Support,44.5%
510,510,Master,Akali,Top,44.4%
511,511,Iron plus,Azir,Mid,44.3%
512,512,Iron plus,Qiyana,Mid,44.3%
513,513,Master,Poppy,Jungle,44.3%
514,514,Master,Veigar,Mid,44.2%
515,515,Master,Lux,Support,43.9%
516,516,Platinum plus,Twitch,Support,43.8%
517,517,Master,Teemo,Top,43.7%
518,518,Master,Kayle,Top,43.6%
519,519,Master,Corki,Mid,43.6%
520,520,Master,LeBlanc,Mid,43.4%
521,521,Master,Jinx,Bot,43.2%
522,522,Master,Kled,Top,43.1%
523,523,Master,Sylas,Top,42.9%
524,524,Master,Ryze,Top,42.9%
525,525,Master,Ziggs,Bot,42.5%
526,526,Master,Heimerdinger,Top,42.1%
527,527,Master,Warwick,Jungle,41.6%
528,528,Master,Sejuani,Jungle,40.7%
529,529,Master,Volibear,Jungle,40.6%
530,530,Master,Irelia,Mid,40.6%
531,531,Master,Cassiopeia,Top,40.5%
532,532,Master,Soraka,Support,40.1%
533,533,Master,Trundle,Jungle,40.0%
534,534,Master,Ziggs,Mid,39.5%
535,535,Master,Sett,Support,38.8%
536,536,Master,Jayce,Mid,38.6%
537,537,Master,Heimerdinger,Mid,35.7%
538,538,Master,Amumu,Jungle,31.7%
539,539,Master,Pyke,Mid,31.3%
540,540,Master,Varus,Bot,30.0%
