,Rank,Champion,Role,Win_Rate
126,Master,Rammus,Jungle,48.2%
127,Master,Graves,Jungle,48.1%
128,Master,Gangplank,Top,48.1%
129,Master,Anivia,Mid,48.1%
130,Master,Poppy,Top,48.0%
131,Master,Sett,Top,47.9%
132,Master,Gragas,Top,47.9%
133,Master,Cassiopeia,Mid,47.9%
134,Master,Aphelios,Bot,47.9%
135,Master,Leona,Support,47.8%
136,Master,Yorick,Top,47.7%
137,Master,Lulu,Support,47.7%
138,Master,Twitch,Support,47.5%
139,Master,Vladimir,Top,47.4%
140,Master,Ashe,Support,47.4%
141,Master,Akali,Mid,47.4%
142,Master,Singed,Top,47.3%
143,Master,Ezreal,Bot,47.2%
144,Master,Kennen,Top,47.2%
145,Master,Yone,Mid,47.0%
146,Master,Lux,Mid,46.9%
147,Master,Yasuo,Mid,46.7%
148,Master,Ornn,Top,46.7%
149,Master,Ivern,Jungle,46.7%
150,Master,Karma,Support,46.6%
151,Master,Maokai,Top,46.5%
152,Master,Senna,Support,46.5%
153,Master,Xerath,Support,46.5%
154,Master,Yasuo,Top,46.4%
155,Master,Lucian,Top,46.3%
156,Master,Samira,Bot,46.2%
157,Master,Akali,Top,46.1%
158,Master,Aatrox,Top,45.9%
159,Master,Yone,Top,45.9%
160,Master,Jarvan IV,Jungle,45.8%
161,Master,Vi,Jungle,45.6%
162,Master,Azir,Mid,45.6%
163,Master,Veigar,Mid,45.1%
164,Master,Shaco,Jungle,45.1%
165,Master,Tristana,Mid,45.0%
166,Master,Lucian,Mid,44.9%
167,Master,Mordekaiser,Top,44.9%
168,Master,Ziggs,Bot,44.7%
169,Master,Lux,Support,44.7%
170,Master,Vel'Koz,Support,44.4%
171,Master,Teemo,Top,44.4%
172,Master,Jinx,Bot,44.2%
173,Master,Sylas,Mid,44.1%
174,Master,LeBlanc,Mid,43.9%
175,Master,Sylas,Top,43.8%
176,Master,Poppy,Jungle,43.4%
177,Master,Karthus,Mid,43.1%
178,Master,Ryze,Top,42.9%
179,Master,Kled,Top,42.8%
180,Master,Warwick,Jungle,42.7%
181,Master,Kayle,Top,42.2%
182,Master,Heimerdinger,Top,42.1%
183,Master,Trundle,Jungle,41.2%
184,Master,Volibear,Jungle,39.7%
185,Master,Sett,Support,39.1%
186,Master,Soraka,Support,38.8%
187,Master,Sejuani,Jungle,38.8%
188,Master,Irelia,Mid,38.8%
189,Master,Cassiopeia,Top,38.2%
190,Master,Jayce,Mid,37.3%
191,Master,Heimerdinger,Mid,35.7%
192,Master,Ziggs,Mid,35.3%
193,Master,Amumu,Jungle,33.3%
194,Master,Varus,Bot,31.3%
195,Master,Pyke,Mid,31.0%
